nohup: ignoring input
Using GPUs: [0, 1, 2, 3, 4]
Loaded checkpoint: /home/ofirg/cld_checkpoints/expr1/exp1_digits_20260127_135649.pt
Extending from 4000000 to 6000000 epochs (extra 2000000).
training starts for cuda:0...
training starts for cuda:1...
training starts for cuda:4...
training starts for cuda:2...
training starts for cuda:3...
device cuda:3 | epoch        1 | loss 0.1045 (lin: 0.0919) | train acc 1.000 (lin: 0.9000) | test acc 0.086 (lin: 0.0692)
device cuda:4 | epoch        1 | loss 0.0770 (lin: 0.1061) | train acc 1.000 (lin: 1.0000) | test acc 0.099 (lin: 0.0416)
device cuda:0 | epoch        1 | loss 0.1117 (lin: 0.1103) | train acc 0.900 (lin: 0.8000) | test acc 0.111 (lin: 0.0962)
device cuda:1 | epoch        1 | loss 0.0983 (lin: 0.0743) | train acc 1.000 (lin: 1.0000) | test acc 0.093 (lin: 0.0461)
device cuda:2 | epoch        1 | loss 0.1189 (lin: 0.1065) | train acc 0.800 (lin: 1.0000) | test acc 0.138 (lin: 0.0872)
device cuda:3 | epoch   120001 | loss 0.1115 (lin: 0.0933) | train acc 1.000 (lin: 0.9000) | test acc 0.107 (lin: 0.0703)
device cuda:0 | epoch   120001 | loss 0.0931 (lin: 0.1066) | train acc 0.900 (lin: 1.0000) | test acc 0.106 (lin: 0.1047)
device cuda:4 | epoch   120001 | loss 0.1213 (lin: 0.1007) | train acc 0.900 (lin: 0.8000) | test acc 0.087 (lin: 0.0445)
device cuda:1 | epoch   120001 | loss 0.0904 (lin: 0.0969) | train acc 1.000 (lin: 1.0000) | test acc 0.125 (lin: 0.0523)
device cuda:2 | epoch   120001 | loss 0.1197 (lin: 0.1017) | train acc 1.000 (lin: 1.0000) | test acc 0.142 (lin: 0.0855)
device cuda:3 | epoch   240001 | loss 0.1086 (lin: 0.0732) | train acc 0.900 (lin: 1.0000) | test acc 0.129 (lin: 0.0602)
device cuda:0 | epoch   240001 | loss 0.0980 (lin: 0.0850) | train acc 0.900 (lin: 0.9000) | test acc 0.108 (lin: 0.1080)
device cuda:4 | epoch   240001 | loss 0.1058 (lin: 0.0829) | train acc 1.000 (lin: 0.8000) | test acc 0.091 (lin: 0.0405)
device cuda:2 | epoch   240001 | loss 0.0955 (lin: 0.1065) | train acc 1.000 (lin: 0.9000) | test acc 0.150 (lin: 0.0765)
device cuda:1 | epoch   240001 | loss 0.1428 (lin: 0.1118) | train acc 0.700 (lin: 0.9000) | test acc 0.115 (lin: 0.0467)
device cuda:3 | epoch   360001 | loss 0.0877 (lin: 0.1169) | train acc 1.000 (lin: 0.9000) | test acc 0.113 (lin: 0.0658)
device cuda:0 | epoch   360001 | loss 0.1064 (lin: 0.0908) | train acc 0.900 (lin: 0.9000) | test acc 0.105 (lin: 0.1114)
device cuda:4 | epoch   360001 | loss 0.1018 (lin: 0.1075) | train acc 0.900 (lin: 0.9000) | test acc 0.093 (lin: 0.0422)
device cuda:2 | epoch   360001 | loss 0.0842 (lin: 0.0790) | train acc 1.000 (lin: 1.0000) | test acc 0.126 (lin: 0.0810)
device cuda:1 | epoch   360001 | loss 0.0833 (lin: 0.1177) | train acc 1.000 (lin: 0.9000) | test acc 0.110 (lin: 0.0461)
device cuda:3 | epoch   480001 | loss 0.1105 (lin: 0.1030) | train acc 0.900 (lin: 0.9000) | test acc 0.107 (lin: 0.0658)
device cuda:0 | epoch   480001 | loss 0.0708 (lin: 0.0759) | train acc 1.000 (lin: 1.0000) | test acc 0.100 (lin: 0.1092)
device cuda:4 | epoch   480001 | loss 0.0874 (lin: 0.1072) | train acc 0.900 (lin: 0.8000) | test acc 0.083 (lin: 0.0439)
device cuda:2 | epoch   480001 | loss 0.1064 (lin: 0.0899) | train acc 0.900 (lin: 1.0000) | test acc 0.124 (lin: 0.0844)
device cuda:1 | epoch   480001 | loss 0.1001 (lin: 0.0849) | train acc 1.000 (lin: 1.0000) | test acc 0.095 (lin: 0.0416)
device cuda:3 | epoch   600001 | loss 0.0775 (lin: 0.0932) | train acc 1.000 (lin: 1.0000) | test acc 0.104 (lin: 0.0709)
device cuda:0 | epoch   600001 | loss 0.1246 (lin: 0.1176) | train acc 0.800 (lin: 0.9000) | test acc 0.101 (lin: 0.1114)
device cuda:4 | epoch   600001 | loss 0.0984 (lin: 0.0914) | train acc 1.000 (lin: 0.9000) | test acc 0.088 (lin: 0.0400)
device cuda:2 | epoch   600001 | loss 0.0955 (lin: 0.1174) | train acc 0.900 (lin: 0.9000) | test acc 0.129 (lin: 0.0850)
